icao,iata,country,name,airport_type,alt,lon,lat
RU9942,,RU,Shaykovka Air Base,medium_airport,666,34.3717002868652,54.2266998291016
LETO,TOJ,ES,Torrejón Airport,medium_airport,2026,-3.44586992263794,40.4967002868652
SVKB,,VE,La Calzada Airport,small_airport,291,-70.0999984741211,7.98333311080933
EE0004,,EE,Jägala Highway Strip,closed,150,25.2905555556,59.3977777778
US0821,,US,University of Miami Hospital Heliport,heliport,90,-80.215555,25.787777
SWAS,,BR,Telebrás I Heliport,heliport,3661,-47.8836097717285,-15.8061113357544
EGCL,,GB,Fenland Airfield,small_airport,8,-0.0297219995409,52.739200592
VN0013,,VN,Red Beach Airfield,closed,3,108.143,16.096
EGGH,,GB,Heston Aerodrome,closed,105,-0.393909,51.491815
EGLD,,GB,Denham Aerodrome,small_airport,24,-0.513055980206,51.5882987976
EGMA,,GB,Fowlmere Airfield,small_airport,124,0.0616669990122,52.0774993896
FR0169,,FR,Centre Hospitalier Heliport,heliport,108,2.79555606842041,49.389720916748
EGPK,PIK,GB,Glasgow Prestwick Airport,medium_airport,65,-4.586669921875,55.5093994140625
WSAP,QPG,SG,Paya Lebar Air Base,medium_airport,65,103.910003662109,1.3604199886322
XLLN,,RU,Kasimovo Airfield,small_airport,230,30.334999,60.198299
EHRD,RTM,NL,Rotterdam The Hague Airport,medium_airport,-15,4.43722,51.956902
EIGM,,IE,Gormanston Aerodrome,closed,69,-6.22770023345947,53.6347999572754
N45,,US,Kobelt Airport,small_airport,420,-74.1337966918945,41.6278991699219
EGBG,,GB,Leicester Airport,small_airport,469,-1.03193998336792,52.6077995300293
EGLF,FAB,GB,Farnborough Airport,medium_airport,238,-0.776332974434,51.2757987976
EGLT,,GB,Ascot Racecourse Heliport,heliport,220,-0.659166991710663,51.426399230957
EGML,,GB,Damyns Hall Aerodrome,small_airport,59,0.245555996894836,51.5285987854004
FA78,,US,Robinestte Seaplane Base,seaplane_base,58,-81.25,28.333
FD36,,US,Advent Health East Orlando Heliport,heliport,113,-81.279941,28.541224
IT0054,,IT,Aviosuperficie Il Picchio,small_airport,699,8.595667,45.708667
IT0055,,IT,Aviosuperficie Pegasus 2000,small_airport,1312,7.665453,45.30993
IT0096,,IT,Aviosuperficie Sabaudia,small_airport,66,13.021389,41.333611
