icao,iata,country,name,airport_type,alt,lon,lat
ZSPD,PVG,CN,Shanghai Pudong International Airport,large_airport,13,121.805000305176,31.1434001922607
RPLC,CRK,PH,Diosdado Macapagal International Airport,large_airport,484,120.559998,15.186
LWSK,SKP,MK,Skopje Alexander the Great Airport,large_airport,781,21.621401,41.961601
KBOI,BOI,US,Boise Air Terminal/Gowen Field,large_airport,2871,-116.223,43.5644
EDDT,TXL,DE,Berlin-Tegel Airport,large_airport,122,13.2877,52.5597
KBNA,BNA,US,Nashville International Airport,large_airport,599,-86.6781997680664,36.1245002746582
KCRP,CRP,US,Corpus Christi International Airport,large_airport,44,-97.5011978149414,27.7703990936279
KADW,ADW,US,Joint Base Andrews,large_airport,280,-76.866997,38.810799
LDZA,ZAG,HR,Zagreb Airport,large_airport,353,16.0687999725,45.7429008484
LIEE,CAG,IT,Cagliari Elmas Airport,large_airport,13,9.05428,39.251499
KLAS,LAS,US,McCarran International Airport,large_airport,2181,-115.1520004,36.08010101
CYVR,YVR,CA,Vancouver International Airport,large_airport,14,-123.183998108,49.193901062
ZYHB,HRB,CN,Taiping Airport,large_airport,457,126.25,45.6234016418457
EPKT,KTW,PL,Katowice International Airport,large_airport,995,19.08,50.4743
HSSS,KRT,SD,Khartoum International Airport,large_airport,1265,32.5531997680664,15.5895004272461
KCID,CID,US,The Eastern Iowa Airport,large_airport,869,-91.7108001708984,41.8847007751465
NZAA,AKL,NZ,Auckland International Airport,large_airport,23,174.792007446,-37.0080986023
KCHS,CHS,US,Charleston Air Force Base-International Airport,large_airport,46,-80.04049683,32.89860153
PK0001,ISB,PK,New Islamabad International Airport,large_airport,1646,72.851613,33.560713
KDOV,DOV,US,Dover Air Force Base,large_airport,24,-75.46600342,39.12950134
KMDW,MDW,US,Chicago Midway International Airport,large_airport,620,-87.752403,41.785999
KORD,ORD,US,Chicago O'Hare International Airport,large_airport,672,-87.9048,41.9786
LQSA,SJJ,BA,Sarajevo International Airport,large_airport,1708,18.3314990997314,43.8246002197266
KDTW,DTW,US,Detroit Metropolitan Wayne County Airport,large_airport,645,-83.353401184082,42.2123985290527
ZSAM,XMN,CN,Xiamen Gaoqi International Airport,large_airport,59,118.127998352051,24.5440006256104
FACT,CPT,ZA,Cape Town International Airport,large_airport,151,18.6016998291,-33.9648017883
EVRA,RIX,LV,Riga International Airport,large_airport,36,23.9710998535156,56.9235992431641
KPHX,PHX,US,Phoenix Sky Harbor International Airport,large_airport,1135,-112.012001037598,33.4342994689941
SUMU,MVD,UY,Carrasco International /General C L Berisso Airport,large_airport,105,-56.0308,-34.838402
EGFF,CWL,GB,Cardiff International Airport,large_airport,220,-3.34332990646362,51.3967018127441
EGTE,EXT,GB,Exeter International Airport,large_airport,102,-3.41388988494873,50.7344017028809
EGCN,DSA,GB,Robin Hood Doncaster Sheffield Airport,large_airport,55,-1.01065635681,53.4805378105
PHNL,HNL,US,Daniel K Inouye International Airport,large_airport,13,-157.924228,21.32062
KSFO,SFO,US,San Francisco International Airport,large_airport,13,-122.375,37.6189994812012
LYPG,TGD,ME,Podgorica Airport,large_airport,141,19.2519,42.359402
LFLL,LYS,FR,Lyon Saint-Exupéry Airport,large_airport,821,5.081111,45.725556
EGGP,LPL,GB,Liverpool John Lennon Airport,large_airport,80,-2.8497200012207,53.3335990905762
KSAN,SAN,US,San Diego International Airport,large_airport,17,-117.190002441,32.7336006165
LZIB,BTS,SK,M. R. Štefánik Airport,large_airport,436,17.2126998901367,48.1702003479004
DFFD,OUA,BF,Ouagadougou Airport,large_airport,1037,-1.51242,12.3532
KDCA,DCA,US,Ronald Reagan Washington National Airport,large_airport,15,-77.037697,38.8521
EKCH,CPH,DK,Copenhagen Kastrup Airport,large_airport,17,12.656000137329,55.617900848389
LCLK,LCA,CY,Larnaca International Airport,large_airport,8,33.6249008178711,34.8750991821289
UDYZ,EVN,AM,Zvartnots International Airport,large_airport,2838,44.3959007263,40.1473007202
LFBD,BOD,FR,Bordeaux-Mérignac Airport,large_airport,162,-0.715556025505,44.8283004761
MMUN,CUN,MX,Cancún International Airport,large_airport,22,-86.8770980835,21.0365009308
DRRN,NIM,NE,Diori Hamani International Airport,large_airport,732,2.18361,13.4815
VOMM,MAA,IN,Chennai International Airport,large_airport,52,80.1692962646484,12.9900054931641
KLIT,LIT,US,Bill & Hillary Clinton National Airport/Adams Field,large_airport,262,-92.2242965698,34.7294006348
LGIR,HER,GR,Heraklion International Nikos Kazantzakis Airport,large_airport,115,25.1802997589,35.3396987915
KGRB,GRB,US,Austin Straubel International Airport,large_airport,695,-88.1296005249023,44.4850997924805
DNMM,LOS,NG,Murtala Muhammed International Airport,large_airport,135,3.32116007804871,6.57737016677856
LLBG,TLV,IL,Ben Gurion International Airport,large_airport,135,34.8866996765137,32.0113983154297
ESGG,GOT,SE,Gothenburg-Landvetter Airport,large_airport,506,12.279800415039,57.662799835205
URRP,ROV,RU,Platov International Airport,large_airport,213,39.924722,47.493888
VTBS,BKK,TH,Suvarnabhumi Airport,large_airport,5,100.747001647949,13.6810998916626
EGGD,BRS,GB,Bristol Airport,large_airport,622,-2.71909,51.382702
HLLT,TIP,LY,Tripoli International Airport,large_airport,263,13.1590003967,32.6635017395
LIPX,VRN,IT,Verona Villafranca Airport,large_airport,239,10.8885,45.395699
EPWA,WAW,PL,Warsaw Chopin Airport,large_airport,362,20.9671001434,52.1656990051
LIMJ,GOA,IT,Genoa Cristoforo Colombo Airport,large_airport,13,8.8375,44.4133
FVHA,HRE,ZW,Robert Gabriel Mugabe International Airport,large_airport,4887,31.0928,-17.931801
KTPA,TPA,US,Tampa International Airport,large_airport,26,-82.533203125,27.9755001068115
EETN,TLL,EE,Lennart Meri Tallinn Airport,large_airport,131,24.8327999115,59.4132995605
FZAA,FIH,CD,Ndjili International Airport,large_airport,1027,15.4446,-4.38575
ZUUU,CTU,CN,Chengdu Shuangliu International Airport,large_airport,1625,103.946998596191,30.5785007476807
KFLL,FLL,US,Fort Lauderdale Hollywood International Airport,large_airport,9,-80.152702,26.072599
SBGL,GIG,BR,Rio Galeão – Tom Jobim International Airport,large_airport,28,-43.2505569458,-22.8099994659
ESSA,ARN,SE,Stockholm-Arlanda Airport,large_airport,137,17.918600082397,59.651901245117
LEAL,ALC,ES,Alicante International Airport,large_airport,142,-0.55815601348877,38.2821998596191
TFFR,PTP,GP,Pointe-à-Pitre Le Raizet,large_airport,36,-61.531799,16.265301
FIMP,MRU,MU,Sir Seewoosagur Ramgoolam International Airport,large_airport,186,57.683601,-20.430201
EHAM,AMS,NL,Amsterdam Airport Schiphol,large_airport,-11,4.76389,52.308601
VCBI,CMB,LK,Bandaranaike International Colombo Airport,large_airport,30,79.8841018676758,7.1807599067688
GABS,BKO,ML,Modibo Keita International Airport,large_airport,1247,-7.94994,12.5335
DGAA,ACC,GH,Kotoka International Airport,large_airport,205,-0.166786000132561,5.60518980026245
FSIA,SEZ,SC,Seychelles International Airport,large_airport,10,55.521801,-4.67434
VRMM,MLE,MV,Malé International Airport,large_airport,6,73.5290985107422,4.19183015823364
EDDK,CGN,DE,Cologne Bonn Airport,large_airport,302,7.1427397728,50.8658981323
CYOW,YOW,CA,Ottawa Macdonald-Cartier International Airport,large_airport,374,-75.6691970825195,45.3224983215332
LICJ,PMO,IT,Falcone–Borsellino Airport,large_airport,65,13.091,38.175999
SVBC,BLA,VE,General José Antonio Anzoategui International Airport,large_airport,30,-64.692222,10.111111
LEMG,AGP,ES,Málaga Airport,large_airport,53,-4.49911022186279,36.6749000549316
KRST,RST,US,Rochester International Airport,large_airport,1317,-92.5,43.9082984924316
PANC,ANC,US,Ted Stevens Anchorage International Airport,large_airport,152,-149.996002197266,61.1744003295898
VVNB,HAN,VN,Noi Bai International Airport,large_airport,39,105.806999206543,21.2212009429932
EGSH,NWI,GB,Norwich International Airport,large_airport,117,1.28278005123,52.6758003235
CYYZ,YYZ,CA,Lester B. Pearson International Airport,large_airport,569,-79.6305999756,43.6772003174
LROP,OTP,RO,Henri Coandă International Airport,large_airport,314,26.085,44.5711111
VECC,CCU,IN,Netaji Subhash Chandra Bose International Airport,large_airport,16,88.4467010498047,22.6546993255615
LYBE,BEG,RS,Belgrade Nikola Tesla Airport,large_airport,335,20.3090991974,44.8184013367
LHBP,BUD,HU,Budapest Liszt Ferenc International Airport,large_airport,495,19.261093,47.42976
KLGA,LGA,US,La Guardia Airport,large_airport,21,-73.87259674,40.77719879
UHHH,KHV,RU,Khabarovsk-Novy Airport,large_airport,244,135.18800354004,48.52799987793
GCLP,LPA,ES,Gran Canaria Airport,large_airport,78,-15.3865995407104,27.9319000244141
GMMN,CMN,MA,Mohammed V International Airport,large_airport,656,-7.58997011184692,33.3675003051758
UWUU,UFA,RU,Ufa International Airport,large_airport,449,55.874401092529,54.557498931885
UUBW,ZIA,RU,Zhukovsky International Airport,large_airport,377,38.150002,55.553299
RKSS,GMP,KR,Gimpo International Airport,large_airport,59,126.791,37.5583
ZSSS,SHA,CN,Shanghai Hongqiao International Airport,large_airport,10,121.335998535156,31.1979007720947
KBWI,BWI,US,Baltimore/Washington International Thurgood Marshall Airport,large_airport,146,-76.668297,39.1754
EGBB,BHX,GB,Birmingham International Airport,large_airport,327,-1.74802994728,52.4538993835
YSCB,CBR,AU,Canberra International Airport,large_airport,1886,149.195007324219,-35.3069000244141
VGZR,DAC,BD,Hazrat Shahjalal International Airport,large_airport,30,90.397783,23.843347
WBSB,BWN,BN,Brunei International Airport,large_airport,73,114.928001403809,4.94420003890991
ORBI,BGW,IQ,Baghdad International Airport,large_airport,114,44.2346000671,33.2625007629
DTTA,TUN,TN,Tunis Carthage International Airport,large_airport,22,10.2271995544434,36.851001739502
YSSY,SYD,AU,Sydney Kingsford Smith International Airport,large_airport,21,151.177001953125,-33.9460983276367
KEWR,EWR,US,Newark Liberty International Airport,large_airport,18,-74.168701171875,40.6925010681152
RJTT,HND,JP,Tokyo Haneda International Airport,large_airport,35,139.779999,35.552299
EIDW,DUB,IE,Dublin Airport,large_airport,242,-6.27007,53.421299
UNNT,OVB,RU,Tolmachevo Airport,large_airport,365,82.650703430176,55.012599945068
GOOY,DKR,SN,Léopold Sédar Senghor International Airport,large_airport,85,-17.4902000427246,14.7397003173828
LOWW,VIE,AT,Vienna International Airport,large_airport,600,16.569700241089,48.110298156738
OEJN,JED,SA,King Abdulaziz International Airport,large_airport,48,39.156502,21.6796
LEPA,PMI,ES,Palma De Mallorca Airport,large_airport,27,2.73881006241,39.551700592
EGHH,BOH,GB,Bournemouth Airport,large_airport,38,-1.84249997138977,50.7799987792969
LPFR,FAO,PT,Faro Airport,large_airport,24,-7.96590995789,37.0144004822
OLBA,BEY,LB,Beirut Rafic Hariri International Airport,large_airport,87,35.4883995056152,33.8208999633789
GOBD,DSS,SN,Blaise Diagne International Airport,large_airport,290,-17.073333,14.67
LIPZ,VCE,IT,Venice Marco Polo Airport,large_airport,7,12.3519,45.505299
KCLE,CLE,US,Cleveland Hopkins International Airport,large_airport,791,-81.8498001099,41.4117012024
EINN,SNN,IE,Shannon Airport,large_airport,46,-8.92482,52.702
EDDF,FRA,DE,Frankfurt am Main Airport,large_airport,364,8.570556,50.033333
VIDP,DEL,IN,Indira Gandhi International Airport,large_airport,777,77.103104,28.5665
LFMN,NCE,FR,Nice-Côte d'Azur Airport,large_airport,12,7.21586990356,43.6584014893
EGUN,MHZ,GB,RAF Mildenhall,large_airport,33,0.486405998468399,52.3619003295898
UUEE,SVO,RU,Sheremetyevo International Airport,large_airport,622,37.4146,55.972599
LATI,TIA,AL,Tirana International Airport Mother Teresa,large_airport,126,19.7206001282,41.4146995544
EGPF,GLA,GB,Glasgow International Airport,large_airport,26,-4.43306016922,55.8718986511
ZGSZ,SZX,CN,Shenzhen Bao'an International Airport,large_airport,13,113.810997009277,22.6392993927002
EDDH,HAM,DE,Hamburg Airport,large_airport,53,9.9882297515869,53.630401611328
SAEZ,EZE,AR,Ministro Pistarini International Airport,large_airport,67,-58.5358,-34.8222
ULLI,LED,RU,Pulkovo Airport,large_airport,78,30.2625007629395,59.8003005981445
LIPE,BLQ,IT,Bologna Guglielmo Marconi Airport,large_airport,123,11.2887,44.5354
OERK,RUH,SA,King Khaled International Airport,large_airport,2049,46.6987991333008,24.9575996398926
UAAA,ALA,KZ,Almaty Airport,large_airport,2234,77.0404968261719,43.3521003723145
VHHH,HKG,HK,Hong Kong International Airport,large_airport,28,113.915001,22.308901
LFPO,ORY,FR,Paris-Orly Airport,large_airport,291,2.3794444,48.7233333
EDSB,FKB,DE,Karlsruhe Baden-Baden Airport,large_airport,408,8.08049964905,48.7793998718
SBGR,GRU,BR,Guarulhos - Governador André Franco Montoro International Airport,large_airport,2459,-46.4730567932129,-23.4355564117432
TJSJ,SJU,PR,Luis Munoz Marin International Airport,large_airport,9,-66.0018005371,18.4393997192
KSAV,SAV,US,Savannah Hilton Head International Airport,large_airport,50,-81.20210266,32.12760162
EDDV,HAJ,DE,Hannover Airport,large_airport,183,9.68507957458,52.461101532
BIKF,KEF,IS,Keflavik International Airport,large_airport,171,-22.605600357056,63.985000610352
KLAX,LAX,US,Los Angeles International Airport,large_airport,125,-118.4079971,33.94250107
OBBI,BAH,BH,Bahrain International Airport,large_airport,6,50.6335983276367,26.2707996368408
LMML,MLA,MT,Malta International Airport,large_airport,149,14.4775,35.857498
EDDL,DUS,DE,Düsseldorf Airport,large_airport,147,6.76678,51.289501
MRLB,LIR,CR,Daniel Oduber Quiros International Airport,large_airport,270,-85.544403,10.5933
RJBB,KIX,JP,Kansai International Airport,large_airport,26,135.244003295898,34.4272994995117
KBOS,BOS,US,General Edward Lawrence Logan International Airport,large_airport,20,-71.00520325,42.36429977
MDPC,PUJ,DO,Punta Cana International Airport,large_airport,47,-68.3634033203,18.5673999786
USSS,SVX,RU,Koltsovo Airport,large_airport,764,60.802700042725,56.743099212646
KBGR,BGR,US,Bangor International Airport,large_airport,192,-68.8281021118164,44.8073997497559
UMMS,MSQ,BY,Minsk National Airport,large_airport,670,28.030700683594,53.882499694824
OJAI,AMM,JO,Queen Alia International Airport,large_airport,2395,35.9931983948,31.7226009369
LEBL,BCN,ES,Barcelona International Airport,large_airport,12,2.07846,41.2971
EBBR,BRU,BE,Brussels Airport,large_airport,184,4.48443984985,50.9014015198
WMKK,KUL,MY,Kuala Lumpur International Airport,large_airport,69,101.70999908447,2.745579957962
LPPT,LIS,PT,Humberto Delgado Airport (Lisbon Portela Airport),large_airport,374,-9.13592,38.7813
LIRP,PSA,IT,Pisa International Airport,large_airport,6,10.3927,43.683899
LTFE,BJV,TR,Milas Bodrum International Airport,large_airport,21,27.6643009186,37.2505989075
OMDW,DWC,AE,Al Maktoum International Airport,large_airport,114,55.161389,24.896356
ZBAA,PEK,CN,Beijing Capital International Airport,large_airport,116,116.584999084473,40.0801010131836
LEMD,MAD,ES,Adolfo Suárez Madrid–Barajas Airport,large_airport,1998,-3.56264,40.471926
OEDF,DMM,SA,King Fahd International Airport,large_airport,72,49.7979011535645,26.4712009429932
RPLL,MNL,PH,Ninoy Aquino International Airport,large_airport,75,121.019997,14.5086
UBBB,GYD,AZ,Heydar Aliyev International Airport,large_airport,10,50.0466995239258,40.4674987792969
LIMC,MXP,IT,Malpensa International Airport,large_airport,768,8.72811,45.6306
OMSJ,SHJ,AE,Sharjah International Airport,large_airport,111,55.5172004699707,25.3285999298096
LTAC,ESB,TR,Esenboğa International Airport,large_airport,3125,32.995098114,40.1281013489
ZGGG,CAN,CN,Guangzhou Baiyun International Airport,large_airport,50,113.299003601074,23.3924007415771
LGAV,ATH,GR,Eleftherios Venizelos International Airport,large_airport,308,23.9444999695,37.9364013672
KIAH,IAH,US,George Bush Intercontinental Houston Airport,large_airport,97,-95.3414001464844,29.9843997955322
KMIA,MIA,US,Miami International Airport,large_airport,8,-80.2906036376953,25.7931995391846
EBLG,LGG,BE,Liège Airport,large_airport,659,5.4432201385498,50.6374015808105
LIRA,CIA,IT,Ciampino–G. B. Pastine International Airport,large_airport,427,12.5949,41.7994
WSSS,SIN,SG,Singapore Changi Airport,large_airport,22,103.994003,1.35019
LIRF,FCO,IT,Leonardo da Vinci–Fiumicino Airport,large_airport,13,12.2388889,41.8002778
KIAD,IAD,US,Washington Dulles International Airport,large_airport,312,-77.45580292,38.94449997
FNLU,LAD,AO,Quatro de Fevereiro Airport,large_airport,243,13.2312,-8.85837
LTBA,ISL,TR,Atatürk International Airport,large_airport,163,28.8146,40.976898
RKSI,ICN,KR,Incheon International Airport,large_airport,23,126.450996398926,37.4691009521484
LIRN,NAP,IT,Naples International Airport,large_airport,294,14.2908,40.886002
EGKK,LGW,GB,London Gatwick Airport,large_airport,202,-0.190278,51.148102
KJFK,JFK,US,John F Kennedy International Airport,large_airport,13,-73.77890015,40.63980103
UUWW,VKO,RU,Vnukovo International Airport,large_airport,685,37.2615013123,55.5914993286
HECA,CAI,EG,Cairo International Airport,large_airport,382,31.4055995941162,30.1219005584717
LFPB,LBG,FR,Paris-Le Bourget Airport,medium_airport,218,2.44139003753662,48.9693984985352
QA0001,DOH,QA,Hamad International Airport,large_airport,13,51.608056,25.273056
EGGW,LTN,GB,London Luton Airport,large_airport,526,-0.368333011865616,51.874698638916
UUDD,DME,RU,Domodedovo International Airport,large_airport,588,37.9062995910645,55.4087982177734
VTBD,DMK,TH,Don Mueang International Airport,large_airport,9,100.607002258,13.9125995636
LSZH,ZRH,CH,Zürich Airport,large_airport,1416,8.54917,47.464699
DAAG,ALG,DZ,Houari Boumediene Airport,large_airport,82,3.21540999412537,36.6910018920898
LSGG,GVA,CH,Geneva Cointrin International Airport,large_airport,1411,6.10895013809204,46.2380981445312
OKBK,KWI,KW,Kuwait International Airport,large_airport,206,47.9688987731934,29.2266006469727
EGLL,LHR,GB,London Heathrow Airport,large_airport,83,-0.461941,51.4706
TR0043,IST,TR,Istanbul Airport,large_airport,325,28.751944,41.275278
EGSS,STN,GB,London Stansted Airport,large_airport,348,0.234999999404,51.8849983215
SVMI,CCS,VE,Simón Bolívar International Airport,large_airport,234,-66.991222,10.601194
OOMS,MCT,OM,Muscat International Airport,large_airport,48,58.2844009399414,23.5932998657227
LIME,BGY,IT,Il Caravaggio International Airport,large_airport,782,9.70417,45.673901
OIII,THR,IR,Mehrabad International Airport,large_airport,3962,51.3134002685547,35.6892013549805
LFPG,CDG,FR,Charles de Gaulle International Airport,large_airport,392,2.55,49.012798
OMAA,AUH,AE,Abu Dhabi International Airport,large_airport,88,54.6511001586914,24.4330005645752
ELLX,LUX,LU,Luxembourg-Findel International Airport,large_airport,1234,6.2044444,49.6233333
LTFJ,SAW,TR,Sabiha Gökçen International Airport,large_airport,312,29.3092002869,40.898601532
OEDR,DHA,SA,King Abdulaziz Air Base,large_airport,84,50.1520004272,26.2653999329
EDDB,SXF,DE,Berlin-Schönefeld Airport,large_airport,157,13.5225,52.380001
EDDM,MUC,DE,Munich Airport,large_airport,1487,11.7861,48.353802
OMDB,DXB,AE,Dubai International Airport,large_airport,62,55.3643989563,25.2527999878
LFSB,BSL,FR,EuroAirport Basel-Mulhouse-Freiburg Airport,large_airport,885,7.5291667,47.59
UTTT,TAS,UZ,Tashkent International Airport,large_airport,1417,69.2811965942,41.257900238
